,pl_name,hostname,sy_dist,pl_rade,pl_orbper,discoverymethod,type
0,11 Com b,11 Com,93.1846,5.286154719259407,13117.276529071569,Radial Velocity,
1,11 Com b,11 Com,93.1846,5.286154719259407,326.03,Radial Velocity,
2,11 Com b,11 Com,93.1846,5.286154719259407,323.21,Radial Velocity,
3,11 UMi b,11 UMi,125.321,5.286154719259407,516.21997,Radial Velocity,
4,11 UMi b,11 UMi,125.321,5.286154719259407,13117.276529071569,Radial Velocity,
5,11 UMi b,11 UMi,125.321,5.286154719259407,516.22,Radial Velocity,
6,14 And b,14 And,75.4392,5.286154719259407,186.76,Radial Velocity,
7,14 And b,14 And,75.4392,5.286154719259407,13117.276529071569,Radial Velocity,
8,14 And b,14 And,75.4392,5.286154719259407,185.84,Radial Velocity,
9,14 Her b,14 Her,17.9323,5.286154719259407,1773.4,Radial Velocity,
10,14 Her b,14 Her,17.9323,5.286154719259407,1766.0,Radial Velocity,
11,14 Her b,14 Her,17.9323,5.286154719259407,1765.0389,Radial Velocity,
12,14 Her b,14 Her,17.9323,5.286154719259407,1773.40002,Radial Velocity,
13,14 Her b,14 Her,17.9323,5.286154719259407,1796.4,Radial Velocity,
14,14 Her b,14 Her,17.9323,5.286154719259407,1766.41,Radial Velocity,
15,14 Her b,14 Her,17.9323,5.286154719259407,1724.0,Radial Velocity,
16,14 Her b,14 Her,17.9323,5.286154719259407,13117.276529071569,Radial Velocity,
17,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,799.45,Radial Velocity,
18,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,798.5,Radial Velocity,
19,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,800.8,Radial Velocity,
20,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,799.5,Radial Velocity,
21,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,799.5,Radial Velocity,
22,16 Cyg B b,16 Cyg B,21.1397,5.286154719259407,798.5,Radial Velocity,
23,17 Sco b,17 Sco,124.953,5.286154719259407,578.38,Radial Velocity,
24,18 Del b,18 Del,76.222,5.286154719259407,993.3,Radial Velocity,
25,18 Del b,18 Del,76.222,5.286154719259407,982.85,Radial Velocity,
26,18 Del b,18 Del,76.222,5.286154719259407,13117.276529071569,Radial Velocity,
27,1RXS J160929.1-210524 b,1RXS J160929.1-210524,139.135,5.286154719259407,13117.276529071569,Imaging,
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,139.135,5.286154719259407,13117.276529071569,Imaging,
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,139.135,5.286154719259407,13117.276529071569,Imaging,
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,139.135,18.647,13117.276529071569,Imaging,
31,24 Boo b,24 Boo,95.9863,5.286154719259407,30.3506,Radial Velocity,
32,24 Boo b,24 Boo,95.9863,5.286154719259407,30.33,Radial Velocity,
33,24 Sex b,24 Sex,72.0691,5.286154719259407,452.8,Radial Velocity,
34,24 Sex c,24 Sex,72.0691,5.286154719259407,883.0,Radial Velocity,
35,2M0437 b,2MASS J04372171+2651014,128.484,5.286154719259407,13117.276529071569,Imaging,
36,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,731.4047960443471,5.286154719259407,13117.276529071569,Imaging,
37,2MASS J01225093-2439505 b,2MASS J01225093-2439505,33.8281,11.209,13117.276529071569,Imaging,
38,2MASS J01225093-2439505 b,2MASS J01225093-2439505,33.8281,5.286154719259407,13117.276529071569,Imaging,
39,2MASS J02192210-3925225 b,2MASS J02192210-3925225,731.4047960443471,16.141,13117.276529071569,Imaging,
40,2MASS J0249-0557 c,2MASS J0249-0557 A,66.0613,5.286154719259407,13117.276529071569,Imaging,
41,2MASS J03590986+2009361 b,2MASS J03590986+2009361,117.435,5.286154719259407,13117.276529071569,Imaging,
42,2MASS J04414489+2301513 b,2MASS J04414489+2301513,731.4047960443471,5.286154719259407,13117.276529071569,Imaging,
43,2MASS J11011926-7732383 b,2MASS J11011926-7732383,731.4047960443471,5.286154719259407,13117.276529071569,Imaging,
44,2MASS J11550485-7919108 b,2MASS J11550485-7919108,100.862,5.286154719259407,13117.276529071569,Imaging,
45,2MASS J12073346-3932539 b,2MASS J12073346-3932539,64.308,5.286154719259407,13117.276529071569,Imaging,
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,64.308,5.286154719259407,13117.276529071569,Imaging,
47,2MASS J19383260+4603591 b,2MASS J19383260+4603591,396.332,5.286154719259407,406.0,Eclipse Timing Variations,
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,396.332,5.286154719259407,416.0,Eclipse Timing Variations,
49,2MASS J21252752-8138278 b,2MASS J21252752-8138278,34.1154,5.286154719259407,13117.276529071569,Imaging,
50,2MASS J22362452+4751425 b,2MASS J22362452+4751425,69.5737,5.286154719259407,13117.276529071569,Imaging,
51,30 Ari B b,30 Ari B,44.657,5.286154719259407,335.1,Radial Velocity,
52,30 Ari B b,30 Ari B,44.657,5.286154719259407,345.4,Radial Velocity,
53,30 Ari B b,30 Ari B,44.657,5.286154719259407,335.10001,Radial Velocity,
54,4 UMa b,4 UMa,73.4603,5.286154719259407,270.27,Radial Velocity,
55,4 UMa b,4 UMa,73.4603,5.286154719259407,269.3,Radial Velocity,
56,42 Dra b,42 Dra,90.6545,5.286154719259407,479.1,Radial Velocity,
57,47 UMa b,47 UMa,13.7967,5.286154719259407,1076.6,Radial Velocity,
58,47 UMa b,47 UMa,13.7967,5.286154719259407,1078.0,Radial Velocity,
59,47 UMa b,47 UMa,13.7967,5.286154719259407,1100.8,Radial Velocity,
60,47 UMa b,47 UMa,13.7967,5.286154719259407,1083.2,Radial Velocity,
61,47 UMa b,47 UMa,13.7967,5.286154719259407,1076.6,Radial Velocity,
62,47 UMa c,47 UMa,13.7967,5.286154719259407,2391.0,Radial Velocity,
63,47 UMa c,47 UMa,13.7967,5.286154719259407,7586.0,Radial Velocity,
64,47 UMa c,47 UMa,13.7967,5.286154719259407,2287.0,Radial Velocity,
65,47 UMa d,47 UMa,13.7967,5.286154719259407,14002.0,Radial Velocity,
66,47 UMa d,47 UMa,13.7967,5.286154719259407,19000.0,Radial Velocity,
67,51 Eri b,51 Eri,29.7575,5.286154719259407,14965.0,Imaging,
68,51 Eri b,51 Eri,29.7575,5.286154719259407,11688.0,Imaging,
69,51 Eri b,51 Eri,29.7575,5.286154719259407,13117.276529071569,Imaging,
70,51 Peg b,51 Peg,15.4614,5.286154719259407,4.23077,Radial Velocity,
71,51 Peg b,51 Peg,15.4614,5.286154719259407,4.2293,Radial Velocity,
72,51 Peg b,51 Peg,15.4614,5.286154719259407,4.2307969,Radial Velocity,
73,51 Peg b,51 Peg,15.4614,5.286154719259407,4.231,Radial Velocity,
74,51 Peg b,51 Peg,15.4614,5.286154719259407,4.230785,Radial Velocity,
75,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.65162,Radial Velocity,
76,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.65126,Radial Velocity,
77,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.653,Radial Velocity,
78,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.67,Radial Velocity,
79,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.647,Radial Velocity,
80,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.65171,Radial Velocity,
81,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.465314,Radial Velocity,
82,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.6516,Radial Velocity,
83,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.65152,Radial Velocity,
84,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.648,Radial Velocity,
85,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.6,Radial Velocity,
86,55 Cnc b,55 Cnc,12.5855,5.286154719259407,14.651,Radial Velocity,
87,55 Cnc c,55 Cnc,12.5855,5.286154719259407,44.3989,Radial Velocity,
88,55 Cnc c,55 Cnc,12.5855,5.286154719259407,44.373,Radial Velocity,
89,55 Cnc c,55 Cnc,12.5855,5.286154719259407,44.3787,Radial Velocity,
90,55 Cnc c,55 Cnc,12.5855,5.286154719259407,43.93,Radial Velocity,
91,55 Cnc c,55 Cnc,12.5855,5.286154719259407,44.3827,Radial Velocity,
